zip,county
29654,Anderson
29655,Anderson
29656,Anderson
29657,Pickens
29658,Oconee
29659,Abbeville
29661,Greenville
29662,Greenville
29664,Oconee
29665,Oconee
29666,Greenwood
29667,Pickens
29669,Anderson
29670,Anderson
29671,Pickens
29672,Oconee
29673,Greenville
29675,Oconee
29676,Oconee
29677,Anderson
29678,Oconee
29679,Oconee
29680,Greenville
29681,Greenville
29682,Pickens
29683,Greenville
29684,Anderson
29685,Pickens
29686,Oconee
29687,Greenville
29688,Greenville
29689,Anderson
29690,Greenville
29691,Oconee
29692,Greenwood
29693,Oconee
29695,Greenwood
29696,Oconee
29697,Anderson
29698,Spartanburg
29702,Cherokee
29703,York
29704,York
29706,Chester
29707,Lancaster
29708,York
29709,Chesterfield
29710,York
29712,Chester
29714,Chester
29715,York
29716,York
29717,York
29718,Chesterfield
29720,Lancaster
29721,Lancaster
29722,Lancaster
29724,Chester
29726,York
29727,Chesterfield
29728,Chesterfield
29729,Chester
29730,York
29731,York
29732,York
29733,York
29734,York
29741,Chesterfield
29742,York
29743,York
29744,Lancaster
29745,York
29801,Aiken
29802,Aiken
29803,Aiken
29804,Aiken
29805,Aiken
29808,Aiken
29809,Aiken
29810,Allendale
29812,Barnwell
29813,Barnwell
29816,Aiken
29817,Barnwell
29819,Greenwood
29821,Mccormick
29822,Aiken
29824,Edgefield
29826,Barnwell
29827,Allendale
29828,Aiken
29829,Aiken
29831,Aiken
29832,Edgefield
29834,Aiken
29835,Mccormick
29836,Allendale
29838,Mccormick
29839,Aiken
29840,Mccormick
29841,Aiken
29842,Aiken
29843,Bamberg
29844,Mccormick
29845,Mccormick
29846,Allendale
29847,Edgefield
29848,Greenwood
29849,Allendale
29850,Aiken
29851,Aiken
29853,Barnwell
29856,Aiken
29860,Aiken
29861,Aiken
29899,Mccormick
29901,Beaufort
29902,Beaufort
29903,Beaufort
29904,Beaufort
29905,Beaufort
29906,Beaufort
29907,Beaufort
29909,Beaufort
29910,Beaufort
29911,Hampton
29912,Jasper
29913,Hampton
29914,Beaufort
29915,Beaufort
29916,Hampton
29918,Hampton
29920,Beaufort
29921,Hampton
29922,Hampton
29923,Hampton
29924,Hampton
29925,Beaufort
29926,Beaufort
29927,Jasper
29928,Beaufort
29929,Colleton
29931,Beaufort
29932,Hampton
29933,Hampton
29934,Jasper
29935,Beaufort
29936,Jasper
29938,Beaufort
29939,Hampton
29940,Beaufort
29941,Beaufort
29943,Jasper
29944,Hampton
29945,Hampton
